timestamp,predicted_energy_usage
2026-04-01 00:00:00,50.02
2026-04-01 01:00:00,51.15
2026-04-01 02:00:00,51.49
2026-04-01 03:00:00,51.11
2026-04-01 04:00:00,51.66
2026-04-01 05:00:00,51.93
2026-04-01 06:00:00,51.21
2026-04-01 07:00:00,51.2
2026-04-01 08:00:00,78.27
2026-04-01 09:00:00,76.8
2026-04-01 10:00:00,76.47
2026-04-01 11:00:00,75.58
2026-04-01 12:00:00,75.3
2026-04-01 13:00:00,77.11
2026-04-01 14:00:00,77.23
2026-04-01 15:00:00,77.14
2026-04-01 16:00:00,77.43
2026-04-01 17:00:00,77.62
2026-04-01 18:00:00,114.48
2026-04-01 19:00:00,88.61
2026-04-01 20:00:00,87.75
2026-04-01 21:00:00,85.78
2026-04-01 22:00:00,52.26
2026-04-01 23:00:00,52.3
